Episode, Score, Lines, Counts
1, 242, 2, 42
2, 345, 3, 45
3, 238, 2, 38
4, 237, 2, 37
5, 237, 2, 37
6, 137, 1, 37
7, 243, 2, 43
8, 344, 3, 44
9, 239, 2, 39
10, 343, 3, 43
11, 748, 7, 48
12, 35, 0, 35
13, 241, 2, 41
14, 240, 2, 40
15, 340, 3, 40
16, 137, 1, 37
17, 141, 1, 41
18, 344, 3, 44
19, 441, 4, 41
20, 137, 1, 37
21, 242, 2, 42
22, 238, 2, 38
23, 138, 1, 38
24, 138, 1, 38
25, 445, 4, 45
26, 140, 1, 40
27, 33, 0, 33
28, 340, 3, 40
29, 444, 4, 44
30, 35, 0, 35
31, 341, 3, 41
32, 238, 2, 38
33, 239, 2, 39
34, 136, 1, 36
35, 38, 0, 38
36, 650, 5, 50
37, 38, 0, 38
38, 137, 1, 37
39, 138, 1, 38
40, 34, 0, 34
41, 239, 2, 39
42, 138, 1, 38
43, 343, 3, 43
44, 138, 1, 38
45, 137, 1, 37
46, 36, 0, 36
47, 342, 3, 42
48, 345, 3, 45
49, 139, 1, 39
50, 753, 7, 53
51, 754, 7, 54
52, 1257, 10, 57
53, 650, 6, 50
54, 856, 8, 56
55, 445, 4, 45
56, 650, 6, 50
57, 546, 5, 46
58, 754, 7, 54
59, 648, 6, 48
60, 957, 9, 57
61, 652, 6, 52
62, 651, 6, 51
63, 1155, 9, 55
64, 751, 7, 51
65, 754, 7, 54
66, 850, 7, 50
67, 957, 9, 57
68, 753, 7, 53
69, 1059, 9, 59
70, 653, 6, 53
71, 959, 9, 59
72, 551, 5, 51
73, 1161, 11, 61
74, 547, 5, 47
75, 343, 3, 43
76, 651, 6, 51
77, 344, 3, 44
78, 854, 8, 54
79, 653, 6, 53
80, 552, 5, 52
81, 855, 8, 55
82, 450, 4, 50
83, 550, 5, 50
84, 755, 7, 55
85, 1363, 11, 63
86, 1062, 10, 62
87, 857, 8, 57
88, 1159, 10, 59
89, 960, 9, 60
90, 654, 6, 54
91, 756, 7, 56
92, 854, 8, 54
93, 854, 7, 54
94, 960, 8, 60
95, 852, 7, 52
96, 856, 7, 56
97, 956, 8, 56
98, 958, 9, 58
99, 1061, 10, 61
100, 1164, 11, 64
101, 1055, 8, 55
102, 958, 8, 58
103, 959, 9, 59
104, 755, 7, 55
105, 958, 9, 58
106, 1162, 11, 62
107, 954, 8, 54
108, 953, 8, 53
109, 958, 9, 58
110, 1261, 10, 61
111, 652, 6, 52
112, 748, 5, 48
113, 856, 7, 56
114, 1552, 7, 52
115, 957, 8, 57
116, 853, 8, 53
117, 852, 7, 52
118, 649, 6, 49
119, 850, 7, 50
120, 1155, 8, 55
121, 755, 7, 55
122, 1255, 8, 55
123, 650, 6, 50
124, 753, 6, 53
125, 749, 5, 49
126, 1054, 8, 54
127, 1261, 10, 61
128, 1257, 8, 57
129, 448, 3, 48
130, 1058, 10, 58
131, 1257, 9, 57
132, 855, 7, 55
133, 1155, 8, 55
134, 1255, 9, 55
135, 1163, 10, 63
136, 651, 6, 51
137, 855, 7, 55
138, 552, 5, 52
139, 1557, 10, 57
140, 1156, 8, 56
141, 1152, 7, 52
142, 850, 7, 50
143, 336, 2, 36
144, 952, 7, 52
145, 1060, 9, 60
146, 650, 5, 50
147, 752, 6, 52
148, 653, 6, 53
149, 955, 7, 55
150, 649, 5, 49
151, 552, 5, 52
152, 954, 7, 54
153, 1058, 9, 58
154, 1359, 10, 59
155, 855, 8, 55
156, 1164, 11, 64
157, 857, 8, 57
158, 1255, 8, 55
159, 753, 6, 53
160, 754, 7, 54
161, 752, 7, 52
162, 649, 5, 49
163, 1159, 9, 59
164, 1159, 9, 59
165, 1059, 9, 59
166, 750, 6, 50
167, 959, 9, 59
168, 1363, 11, 63
169, 1264, 10, 64
170, 1056, 8, 56
171, 1364, 12, 64
172, 651, 6, 51
173, 954, 8, 54
174, 754, 7, 54
175, 1861, 13, 61
176, 755, 7, 55
177, 551, 5, 51
178, 549, 4, 49
179, 1259, 10, 59
180, 1057, 8, 57
181, 1059, 9, 59
182, 1062, 10, 62
183, 1460, 10, 60
184, 1257, 9, 57
185, 857, 8, 57
186, 958, 8, 58
187, 957, 8, 57
188, 652, 6, 52
189, 855, 7, 55
190, 1258, 10, 58
191, 850, 6, 50
192, 751, 6, 51
193, 954, 8, 54
194, 1261, 11, 61
195, 1063, 10, 63
196, 753, 7, 53
197, 1159, 9, 59
198, 756, 7, 56
199, 1356, 10, 56
200, 1364, 12, 64
201, 1961, 10, 61
202, 1560, 10, 60
203, 757, 7, 57
204, 1058, 8, 58
205, 1161, 10, 61
206, 857, 8, 57
207, 958, 8, 58
208, 751, 6, 51
209, 1162, 10, 62
210, 1056, 9, 56
211, 1561, 11, 61
212, 858, 8, 58
213, 1357, 9, 57
214, 1156, 8, 56
