Episode, Score, Lines, Counts
1, 22, 0, 22
2, 18, 0, 18
3, 20, 0, 20
4, 22, 0, 22
5, 21, 0, 21
6, 21, 0, 21
7, 15, 0, 15
8, 20, 0, 20
9, 27, 0, 27
10, 17, 0, 17
11, 21, 0, 21
12, 17, 0, 17
13, 19, 0, 19
14, 26, 0, 26
15, 21, 0, 21
16, 21, 0, 21
17, 26, 0, 26
18, 27, 0, 27
19, 19, 0, 19
20, 123, 1, 23
21, 20, 0, 20
22, 21, 0, 21
23, 20, 0, 20
24, 18, 0, 18
25, 23, 0, 23
26, 22, 0, 22
27, 16, 0, 16
28, 19, 0, 19
29, 25, 0, 25
30, 11, 0, 11
31, 20, 0, 20
32, 24, 0, 24
33, 14, 0, 14
34, 24, 0, 24
35, 18, 0, 18
36, 22, 0, 22
37, 12, 0, 12
38, 15, 0, 15
39, 21, 0, 21
40, 24, 0, 24
41, 19, 0, 19
42, 22, 0, 22
43, 22, 0, 22
44, 21, 0, 21
45, 13, 0, 13
46, 23, 0, 23
47, 25, 0, 25
48, 20, 0, 20
49, 14, 0, 14
50, 23, 0, 23
51, 13, 0, 13
52, 21, 0, 21
53, 22, 0, 22
54, 21, 0, 21
55, 29, 0, 29
56, 23, 0, 23
57, 18, 0, 18
58, 29, 0, 29
59, 24, 0, 24
60, 24, 0, 24
61, 18, 0, 18
62, 17, 0, 17
63, 25, 0, 25
64, 23, 0, 23
65, 21, 0, 21
66, 18, 0, 18
67, 23, 0, 23
68, 26, 0, 26
69, 22, 0, 22
70, 19, 0, 19
71, 16, 0, 16
72, 22, 0, 22
73, 24, 0, 24
74, 19, 0, 19
75, 28, 0, 28
76, 26, 0, 26
77, 20, 0, 20
78, 26, 0, 26
79, 20, 0, 20
80, 20, 0, 20
81, 18, 0, 18
82, 21, 0, 21
83, 22, 0, 22
84, 23, 0, 23
85, 18, 0, 18
86, 17, 0, 17
87, 20, 0, 20
88, 21, 0, 21
89, 21, 0, 21
90, 19, 0, 19
91, 22, 0, 22
92, 17, 0, 17
93, 18, 0, 18
94, 20, 0, 20
95, 15, 0, 15
96, 18, 0, 18
97, 17, 0, 17
98, 29, 0, 29
99, 19, 0, 19
100, 22, 0, 22
101, 17, 0, 17
102, 20, 0, 20
103, 21, 0, 21
104, 19, 0, 19
105, 21, 0, 21
106, 21, 0, 21
107, 21, 0, 21
108, 16, 0, 16
109, 18, 0, 18
110, 15, 0, 15
111, 18, 0, 18
112, 22, 0, 22
113, 25, 0, 25
114, 21, 0, 21
115, 26, 0, 26
116, 12, 0, 12
117, 18, 0, 18
118, 19, 0, 19
119, 116, 1, 16
120, 19, 0, 19
121, 19, 0, 19
122, 22, 0, 22
123, 23, 0, 23
124, 17, 0, 17
125, 23, 0, 23
126, 14, 0, 14
127, 19, 0, 19
128, 16, 0, 16
129, 23, 0, 23
130, 20, 0, 20
131, 20, 0, 20
132, 19, 0, 19
133, 18, 0, 18
134, 21, 0, 21
135, 16, 0, 16
136, 17, 0, 17
137, 25, 0, 25
138, 19, 0, 19
139, 11, 0, 11
140, 28, 0, 28
141, 13, 0, 13
142, 23, 0, 23
143, 19, 0, 19
144, 24, 0, 24
145, 19, 0, 19
146, 23, 0, 23
147, 16, 0, 16
148, 22, 0, 22
149, 24, 0, 24
150, 17, 0, 17
151, 19, 0, 19
152, 20, 0, 20
153, 23, 0, 23
154, 16, 0, 16
155, 25, 0, 25
156, 18, 0, 18
157, 21, 0, 21
158, 18, 0, 18
159, 25, 0, 25
160, 18, 0, 18
161, 20, 0, 20
162, 14, 0, 14
163, 19, 0, 19
164, 22, 0, 22
165, 27, 0, 27
166, 13, 0, 13
167, 20, 0, 20
168, 25, 0, 25
169, 23, 0, 23
170, 13, 0, 13
171, 13, 0, 13
172, 14, 0, 14
173, 24, 0, 24
174, 17, 0, 17
175, 24, 0, 24
176, 22, 0, 22
177, 22, 0, 22
178, 17, 0, 17
179, 21, 0, 21
180, 21, 0, 21
181, 22, 0, 22
182, 16, 0, 16
183, 22, 0, 22
184, 18, 0, 18
185, 23, 0, 23
186, 16, 0, 16
187, 23, 0, 23
188, 22, 0, 22
189, 19, 0, 19
190, 21, 0, 21
191, 18, 0, 18
192, 26, 0, 26
193, 15, 0, 15
194, 18, 0, 18
195, 28, 0, 28
196, 20, 0, 20
197, 23, 0, 23
198, 25, 0, 25
199, 22, 0, 22
200, 23, 0, 23
201, 18, 0, 18
202, 20, 0, 20
203, 19, 0, 19
204, 20, 0, 20
205, 23, 0, 23
206, 23, 0, 23
207, 22, 0, 22
208, 26, 0, 26
209, 21, 0, 21
210, 22, 0, 22
211, 19, 0, 19
212, 19, 0, 19
213, 20, 0, 20
214, 16, 0, 16
215, 27, 0, 27
216, 20, 0, 20
217, 24, 0, 24
218, 20, 0, 20
219, 16, 0, 16
220, 15, 0, 15
221, 16, 0, 16
222, 14, 0, 14
223, 17, 0, 17
224, 21, 0, 21
225, 18, 0, 18
226, 18, 0, 18
227, 18, 0, 18
228, 16, 0, 16
229, 20, 0, 20
230, 22, 0, 22
231, 19, 0, 19
232, 22, 0, 22
233, 15, 0, 15
234, 23, 0, 23
235, 27, 0, 27
236, 23, 0, 23
237, 21, 0, 21
238, 20, 0, 20
239, 22, 0, 22
240, 18, 0, 18
241, 20, 0, 20
242, 20, 0, 20
243, 17, 0, 17
244, 26, 0, 26
245, 20, 0, 20
246, 26, 0, 26
247, 21, 0, 21
248, 16, 0, 16
249, 22, 0, 22
250, 24, 0, 24
251, 23, 0, 23
252, 18, 0, 18
253, 20, 0, 20
254, 124, 1, 24
255, 16, 0, 16
256, 12, 0, 12
257, 21, 0, 21
258, 12, 0, 12
259, 26, 0, 26
260, 22, 0, 22
261, 15, 0, 15
262, 16, 0, 16
263, 20, 0, 20
264, 29, 0, 29
265, 22, 0, 22
266, 21, 0, 21
267, 20, 0, 20
268, 19, 0, 19
269, 23, 0, 23
270, 22, 0, 22
271, 23, 0, 23
272, 17, 0, 17
273, 19, 0, 19
274, 18, 0, 18
275, 19, 0, 19
276, 23, 0, 23
277, 15, 0, 15
278, 23, 0, 23
279, 23, 0, 23
280, 17, 0, 17
281, 13, 0, 13
282, 23, 0, 23
283, 23, 0, 23
284, 19, 0, 19
285, 21, 0, 21
286, 22, 0, 22
287, 17, 0, 17
288, 22, 0, 22
289, 22, 0, 22
290, 21, 0, 21
291, 19, 0, 19
292, 23, 0, 23
293, 20, 0, 20
294, 22, 0, 22
295, 20, 0, 20
296, 23, 0, 23
297, 23, 0, 23
298, 23, 0, 23
299, 22, 0, 22
300, 26, 0, 26
301, 17, 0, 17
302, 23, 0, 23
303, 13, 0, 13
304, 22, 0, 22
305, 13, 0, 13
306, 26, 0, 26
307, 24, 0, 24
308, 17, 0, 17
309, 22, 0, 22
310, 19, 0, 19
311, 22, 0, 22
312, 22, 0, 22
313, 15, 0, 15
314, 21, 0, 21
315, 21, 0, 21
316, 22, 0, 22
317, 22, 0, 22
318, 17, 0, 17
319, 24, 0, 24
320, 23, 0, 23
321, 18, 0, 18
